Date,year,month,EPU,MA_12m,decade
1992-08-01,1992,8,55.2872262399782,89.92182877968139,1990
1992-09-01,1992,9,123.122355502424,90.45120206035232,1990
1992-10-01,1992,10,86.7936277908498,92.50843811204216,1990
1992-11-01,1992,11,32.8308558629918,91.36264703699283,1990
1992-12-01,1992,12,139.736821771711,86.82018501041227,1990
1993-01-01,1993,1,73.301737536634,91.17616967319249,1990
1993-02-01,1993,2,126.14722785353,95.83100204727141,1990
1993-03-01,1993,3,106.441716861899,99.52229750120175,1990
1993-04-01,1993,4,96.2148616388729,92.62778531452051,1990
1993-05-01,1993,5,70.7883712200866,89.42025865956181,1990
1993-06-01,1993,6,126.426970469807,93.10865211682524,1990
1993-07-01,1993,7,112.880251818473,97.29393334188349,1990
1993-08-01,1993,8,99.5827716871418,102.13241188376533,1990
1993-09-01,1993,9,40.3882092622494,96.54877598976803,1990
1993-10-01,1993,10,48.3033079313454,100.75046131440227,1990
1993-11-01,1993,11,77.091577350153,106.41546846569385,1990
1993-12-01,1993,12,189.96019647241,103.7629226665624,1990
1994-01-01,1994,1,131.363480039216,105.74572139618806,1990
1994-02-01,1994,2,59.1435971255622,106.112808595163,1990
1994-03-01,1994,3,156.86194075751,107.6841747268175,1990
1994-04-01,1994,4,164.194947454372,115.14967447205531,1990
1994-05-01,1994,5,38.9578216305092,117.97518847514937,1990
1994-06-01,1994,6,150.220555225315,122.79972041397353,1990
1994-07-01,1994,7,117.285298206172,116.72672391400103,1990
1994-08-01,1994,8,118.439165266996,118.55673667081278,1990
1994-09-01,1994,9,129.974206205103,121.79205800935286,1990
1994-10-01,1994,10,82.2094759684741,122.62272357253913,1990
1994-11-01,1994,11,134.985960616043,115.54953633183247,1990
1994-12-01,1994,12,117.08423847274,114.31105491814644,1990
1995-01-01,1995,1,153.323633120957,109.94087658368983,1990
1995-02-01,1995,2,97.9674531880432,119.04065561880675,1990
1995-03-01,1995,3,166.829927515745,116.29378643972638,1990
1995-04-01,1995,4,79.3167005658923,117.47619639624895,1990
1995-05-01,1995,5,24.0960446662769,117.361904941516,1990
1995-06-01,1995,6,97.7784152118356,119.57058901172586,1990
1995-07-01,1995,7,226.482646627575,115.0872765356935,1990
1995-08-01,1995,8,85.4767351180315,107.7341028173904,1990
1995-09-01,1995,9,144.163125683374,109.62644120691361,1990
1995-10-01,1995,10,80.8379785116787,101.39556463375384,1990
1995-11-01,1995,11,161.490169458561,104.42806884890614,1990
1995-12-01,1995,12,63.2844887603519,109.43195413181074,1990
1996-01-01,1996,1,65.0855485013196,106.7777121300997,1990
1996-02-01,1996,2,120.675513862322,91.07042024282623,1990
1996-03-01,1996,3,68.0594086378275,91.95187228932416,1990
1996-04-01,1996,4,115.70675114772,82.32066968441525,1990
1996-05-01,1996,5,84.1426680611322,84.30602210878268,1990
1996-06-01,1996,6,65.9275111913031,74.32937200942682,1990
1996-07-01,1996,7,37.9951439802933,75.4571966257002,1990
1996-08-01,1996,8,96.0541596760067,75.21958985293472,1990
1996-09-01,1996,9,28.5886944244671,69.02527239342596,1990
1996-10-01,1996,10,104.662207604088,76.44298639457867,1990
1996-11-01,1996,11,41.7703682662905,73.36049903805902,1990
1996-12-01,1996,12,76.8183841556326,78.68332210767583,1990
1997-01-01,1997,1,62.2342672281337,80.11574194915863,1990
1997-02-01,1997,2,46.343704348217,83.83728580926676,1990
1997-03-01,1997,3,157.07197665166,83.31919631598517,1990
1997-04-01,1997,4,78.716902869484,93.61175507801259,1990
1997-05-01,1997,5,148.016544896534,99.02933064792633,1990
1997-06-01,1997,6,83.1165492890968,106.66219414876788,1990
1997-07-01,1997,7,82.6536703015909,105.60184016294511,1990
1997-08-01,1997,8,89.8370857566276,114.22600525441322,1990
1997-09-01,1997,9,152.099399568796,129.63588527120763,1990
1997-10-01,1997,10,169.673114443053,124.95499330411354,1990
1997-11-01,1997,11,133.364730276389,124.88120640500078,1990
1997-12-01,1997,12,64.0941363257594,141.11193401088477,1990
1998-01-01,1998,1,165.724248325751,151.25239741585395,1990
1998-02-01,1998,2,231.26226454975,166.38834751756488,1990
1998-03-01,1998,3,100.901273046531,173.9964089465634,1990
1998-04-01,1998,4,77.8314600801307,185.2853289285424,1990
1998-05-01,1998,5,342.785276167142,181.62358461104077,1990
1998-06-01,1998,6,204.802110148727,184.23828478792566,1990
1998-07-01,1998,7,264.285071522122,193.15906487806572,1990
1998-08-01,1998,8,181.13382290461,201.0195795012443,1990
1998-09-01,1998,9,287.566439352544,199.42548731630473,1990
1998-10-01,1998,10,125.732182633033,216.82899608534015,1990
1998-11-01,1998,11,164.741132399008,234.27619160298448,1990
1998-12-01,1998,12,171.14349740744,230.6265163570313,1990
1999-01-01,1999,1,260.050423803894,229.2627162060006,1990
1999-02-01,1999,2,212.133158330475,222.1999084728295,1990
1999-03-01,1999,3,309.743378274956,229.7148826754783,1990
1999-04-01,1999,4,287.197806291863,233.3234781346605,1990
1999-05-01,1999,5,298.989173215704,234.51830530914182,1990
1999-06-01,1999,6,188.436508336358,230.49017050267892,1990
1999-07-01,1999,7,179.531378724069,236.71758946172758,1990
1999-08-01,1999,8,271.313513336396,219.9620961347364,1990
1999-09-01,1999,9,330.86958486273,203.61093118469685,1990
1999-10-01,1999,10,140.070108726809,181.6753869392838,1990
1999-11-01,1999,11,116.403514721453,160.1008174724619,1990
1999-12-01,1999,12,245.872524916024,137.8035556103199,1990
2000-01-01,2000,1,58.98450388,125.70225899145674,2000
2000-02-01,2000,2,15.91917893,114.29641394028432,2000
2000-03-01,2000,3,46.51684733,93.96997841558466,2000
2000-04-01,2000,4,28.30297269,69.02250792035716,2000
2000-05-01,2000,5,31.42203087,60.87400329728974,2000
2000-06-01,2000,6,43.22094891,52.01632146633532,2000
2000-07-01,2000,7,42.66123811,35.56649817916665,2000
2000-08-01,2000,8,27.39628704,35.03684083749999,2000
2000-09-01,2000,9,31.49993892,37.10375072499999,2000
2000-10-01,2000,10,42.28805325,38.07439813666665,2000
2000-11-01,2000,11,10.11133275,37.89100089416666,2000
2000-12-01,2000,12,48.47464547,37.58430321166666,2000
2001-01-01,2001,1,52.62861578,37.420246197499985,2000
2001-02-01,2001,2,40.72209758,36.39304519083332,2000
2001-03-01,2001,3,58.16461627,37.34176087999999,2000
2001-04-01,2001,4,26.10220578,38.34106055416665,2000
2001-05-01,2001,5,27.74165868,39.07537022999999,2000
2001-06-01,2001,6,41.25226474,42.673156183333326,2000
2001-07-01,2001,7,30.33482603,43.69204508999999,2000
2001-08-01,2001,8,38.78087531,44.504880812499984,2000
2001-09-01,2001,9,43.49153501,44.51892303249999,2000
2001-10-01,2001,10,51.09976936,44.18306151499999,2000
2001-11-01,2001,11,53.28476419,45.83095185999999,2000
2001-12-01,2001,12,60.70131235,47.43460181749999,2000
2002-01-01,2002,1,62.38264445,46.527525925833324,2000
2002-02-01,2002,2,40.89060422,48.52838538833333,2000
2002-03-01,2002,3,54.13427806,48.97445100166666,2000
2002-04-01,2002,4,45.87688992,49.97324647833332,2000
2002-05-01,2002,5,46.98545817,50.4369205525,2000
2002-06-01,2002,6,30.36735404,50.986160126666654,2000
2002-07-01,2002,7,54.34513958,53.51246625416666,2000
2002-08-01,2002,8,44.13366267,52.16186090583332,2000
2002-09-01,2002,9,55.47708073,51.08686020333332,2000
2002-10-01,2002,10,56.66385825,52.506759710833315,2000
2002-11-01,2002,11,59.87563908,57.147727400833325,2000
2002-12-01,2002,12,91.01698588,58.96814921416666,2000
2003-01-01,2003,1,46.17538027,61.01930963999999,2000
2003-02-01,2003,2,27.99059579,63.601723519999986,2000
2003-03-01,2003,3,71.17307215,65.01544153166667,2000
2003-04-01,2003,4,101.5685022,64.53586481416666,2000
2003-05-01,2003,5,68.83051993,65.05272517249999,2000
2003-06-01,2003,6,54.98127915,63.30111067666666,2000
2003-07-01,2003,7,85.33410614,60.14417325249999,2000
2003-08-01,2003,8,61.09827881,60.95192244166665,2000
2003-09-01,2003,9,49.72216012,63.41566800749999,2000
2003-10-01,2003,10,62.86618255,61.476141353333325,2000
